,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,marketing_strategy,total_nights,total_revenue
0,Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,234.0,0,Transient,97.0,0,3,Check-Out,05-07-2015,Early Booking Discount + Special Request Bonus,4,388.0
1,Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,234.0,0,Transient,98.0,0,1,Check-Out,04-07-2015,Generic Marketing + Special Request Bonus,2,196.0
2,Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,234.0,0,Transient,153.0,1,0,Check-Out,05-07-2015,Generic Marketing,2,306.0
3,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,234.0,0,Transient,94.71,0,0,Check-Out,04-07-2015,Generic Marketing,1,94.71
4,Resort Hotel,0,51,2015,July,28,6,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,234.0,0,Transient,117.81,1,2,Check-Out,10-07-2015,Early Booking Discount + Special Request Bonus,4,471.24
5,Resort Hotel,0,51,2015,July,28,6,1,3,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,234.0,0,Transient,117.81,0,2,Check-Out,10-07-2015,Early Booking Discount + Special Request Bonus,4,471.24
6,Resort Hotel,0,98,2015,July,28,6,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,240.0,234.0,0,Transient,87.3,1,1,Check-Out,08-07-2015,Early Booking Discount + Special Request Bonus,2,174.6
7,Resort Hotel,0,88,2015,July,28,7,0,4,3,0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,95.0,234.0,0,Transient,150.0,0,1,Check-Out,11-07-2015,Early Booking Discount + Special Request Bonus,4,600.0
8,Resort Hotel,0,10,2015,July,28,10,0,1,2,0,0,BB,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,234.0,0,Transient,131.0,0,0,Check-Out,11-07-2015,Generic Marketing,1,131.0
9,Resort Hotel,0,42,2015,July,29,13,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,234.0,0,Transient,110.0,1,0,Check-Out,16-07-2015,Early Booking Discount,3,330.0
